A1,Control_1
A2,Control_2
A3,Control_3
A4,Control_4
A5,Control_5
A6,Control_6
A7,Control_7
A8,Control_8
A9,Control_9
A10,Control_10
A11,Control_11
A12,Control_12
B1,Control_13
B2,Ancestral_1
B3,Ancestral_7
B4,Ancestral_13
B5,Ancestral_19
B6,Ancestral_25
B7,BAMix1_1
B8,BAMix1_7
B9,BAMix1_13
B10,BAMix1_19
B11,BAMix1_25
B12,Control_14
C1,Control_15
C2,Ancestral_2
C3,Ancestral_8
C4,Ancestral_14
C5,Ancestral_20
C6,Ancestral_26
C7,BAMix1_2
C8,BAMix1_8
C9,BAMix1_14
C10,BAMix1_20
C11,BAMix1_26
C12,Control_16
D1,Control_17
D2,Ancestral_3
D3,Ancestral_9
D4,Ancestral_15
D5,Ancestral_21
D6,Ancestral_27
D7,BAMix1_3
D8,BAMix1_9
D9,BAMix1_15
D10,BAMix1_21
D11,BAMix1_27
D12,Control_18
E1,Control_19
E2,Ancestral_4
E3,Ancestral_10
E4,Ancestral_16
E5,Ancestral_22
E6,Ancestral_28
E7,BAMix1_4
E8,BAMix1_10
E9,BAMix1_16
E10,BAMix1_22
E11,BAMix1_28
E12,Control_20
F1,Control_21
F2,Ancestral_5
F3,Ancestral_11
F4,Ancestral_17
F5,Ancestral_23
F6,Ancestral_29
F7,BAMix1_5
F8,BAMix1_11
F9,BAMix1_17
F10,BAMix1_23
F11,BAMix1_29
F12,Control_22
G1,Control_23
G2,Ancestral_6
G3,Ancestral_12
G4,Ancestral_18
G5,Ancestral_24
G6,Ancestral_30
G7,BAMix1_6
G8,BAMix1_12
G9,BAMix1_18
G10,BAMix1_24
G11,BAMix1_30
G12,Control_24
H1,Control_25
H2,Control_26
H3,Control_27
H4,Control_28
H5,Control_29
H6,Control_30
H7,Control_31
H8,Control_32
H9,Control_33
H10,Control_34
H11,Control_35
H12,Control_36
